2022-09-10_22:44:15		inserted records from csv to Mongo connection
2022-09-10_22:44:15		inserted records from csv to Mongo connection
2022-09-10_22:44:16		inserted records from csv to Mongo connection
2022-09-10_22:44:16		inserted records from csv to Mongo connection
2022-09-10_22:44:16		inserted records from csv to Mongo connection
2022-09-10_22:44:16		inserted records from csv to Mongo connection
2022-09-10_22:44:17		inserted records from csv to Mongo connection
2022-09-10_22:44:17		inserted records from csv to Mongo connection
2022-09-10_22:44:17		inserted records from csv to Mongo connection
2022-09-10_22:44:18		inserted records from csv to Mongo connection
2022-09-10_22:44:18		inserted records from csv to Mongo connection
2022-09-10_22:44:18		inserted records from csv to Mongo connection
2022-09-10_22:44:18		inserted records from csv to Mongo connection
2022-09-10_22:44:19		inserted records from csv to Mongo connection
2022-09-10_22:44:19		inserted records from csv to Mongo connection
2022-09-10_22:44:19		inserted records from csv to Mongo connection
2022-09-10_22:44:19		inserted records from csv to Mongo connection
2022-09-10_22:44:20		inserted records from csv to Mongo connection
2022-09-10_22:44:20		inserted records from csv to Mongo connection
2022-09-10_22:44:20		inserted records from csv to Mongo connection
2022-09-10_22:44:20		Got Mongo client object created
2022-09-10_22:44:23		Database is present
2022-09-10_22:44:23		Got Mongo client object created
2022-09-10_22:44:23		Got Database successfully!!
2022-09-10_22:44:25		collection is present in mongo
2022-09-10_22:44:25		Got Mongo client object created
2022-09-10_22:44:25		Got Database successfully!!
2022-09-10_22:44:25		Got database collection successfully!!
2022-09-10_22:44:25		successfully found records to mongo
2022-09-10_22:44:32		Got Mongo client object created
2022-09-10_22:44:35		Database is present
2022-09-10_22:44:35		Got Mongo client object created
2022-09-10_22:44:35		Got Database successfully!!
2022-09-10_22:44:37		Collection is not present in  Mongo
2022-09-10_22:44:37		Got Mongo client object created
2022-09-10_22:44:39		Database is present
2022-09-10_22:44:39		Got Mongo client object created
2022-09-10_22:44:39		Got Database successfully!!
2022-09-10_22:44:42		Collection is not present in  Mongo
2022-09-10_22:44:42		Got Mongo client object created
2022-09-10_22:44:42		Got Database successfully!!
2022-09-10_22:44:42		Got database collection successfully!!
2022-09-10_22:44:44		inserted records from csv to Mongo connection
2022-09-10_22:44:44		inserted records from csv to Mongo connection
2022-09-10_22:44:45		inserted records from csv to Mongo connection
2022-09-10_22:44:45		inserted records from csv to Mongo connection
2022-09-10_22:44:45		inserted records from csv to Mongo connection
2022-09-10_22:44:45		inserted records from csv to Mongo connection
2022-09-10_22:44:46		inserted records from csv to Mongo connection
2022-09-10_22:44:46		inserted records from csv to Mongo connection
2022-09-10_22:44:46		inserted records from csv to Mongo connection
2022-09-10_22:44:46		inserted records from csv to Mongo connection
2022-09-10_22:44:47		inserted records from csv to Mongo connection
2022-09-10_22:44:47		inserted records from csv to Mongo connection
2022-09-10_22:44:47		inserted records from csv to Mongo connection
2022-09-10_22:44:48		inserted records from csv to Mongo connection
2022-09-10_22:44:48		inserted records from csv to Mongo connection
2022-09-10_22:44:48		inserted records from csv to Mongo connection
2022-09-10_22:44:48		Got Mongo client object created
2022-09-10_22:44:50		Database is present
2022-09-10_22:44:50		Got Mongo client object created
2022-09-10_22:44:50		Got Database successfully!!
2022-09-10_22:44:53		collection is present in mongo
2022-09-10_22:44:53		Got Mongo client object created
2022-09-10_22:44:53		Got Database successfully!!
2022-09-10_22:44:53		Got database collection successfully!!
